приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
В кампании сверху показаны все условия уровня. Нужный символ всегда входит в набор фишек этого уровня.	Campaign goals appear at the top. Required symbols are always included in that level.	Kampagnenziele stehen oben. Benötigte Symbole sind immer im Level vorhanden.	Los objetivos de campaña aparecen arriba. Los símbolos necesarios siempre están incluidos en el nivel.
Форма поля и препятствия	Board shape and obstacles	Feldform und Hindernisse	Forma del tablero y obstáculos
На следующих уровнях поле станет овальным, полукруглым, ромбом, крестом или щитом. Цепи и скрижали разрушаются совпадениями рядом или прямо на них.	Later boards have varied shapes. Clear chains with direct or adjacent matches; tablets require direct matches.	Spätere Felder haben verschiedene Formen. Ketten verschwinden durch direkte oder benachbarte Treffer, Tafeln brauchen direkte Treffer.	Los siguientes tableros tienen formas variadas. Las cadenas se rompen con combinaciones directas o adyacentes; las tablas necesitan directas.
Тернии и ковчег	Thorns and ark	Dornen und Bundeslade	Espinas y arca
Тернии сами разрастаются на соседние клетки, если их не выжигать совпадениями прямо на них. Ковчег двигать нельзя — убирайте фишки под ним, чтобы он опустился на нижний ряд.	Thorns spread unless cleared by direct matches. The ark cannot be moved; clear pieces beneath it to reach the bottom row.	Dornen breiten sich ohne direkte Treffer aus. Die Bundeslade kann nicht bewegt werden; entferne Steine darunter bis zur untersten Reihe.	Las espinas crecen si no se eliminan directamente. El arca no se mueve: elimina fichas debajo para que llegue a la última fila.
Особые фишки и помощь	Special pieces and help	Spezialsteine und Hilfe	Fichas especiales y ayuda
Четыре и пять одинаковых создают усиления. Бустеры снизу помогают пройти сложный момент и не тратят ход.	Four or five matching pieces create power-ups. Boosters below help in tough spots without using a move.	Vier oder fünf gleiche Steine erzeugen Verstärker. Die Verstärker unten helfen ohne Zugverbrauch.	Cuatro o cinco iguales crean potenciadores. Los de abajo ayudan sin gastar un movimiento.
пар	pairs	Paare	parejas
пар + сюрприз	pairs + surprise	Paare + Überraschung	parejas + sorpresa
Спокойно	Relaxed	Entspannt	Tranquilo
Без таймера — играйте в своём темпе	No timer — play at your own pace	Ohne Timer — spiele in deinem Tempo	Sin reloj: juega a tu ritmo
На скорость	Timed	Auf Zeit	Contrarreloj
Таймер и рекорды; подсказка добавит 5 секунд	Timer and records; a hint adds 5 seconds	Timer und Rekorde; ein Tipp fügt 5 Sekunden hinzu	Reloj y récords; una pista añade 5 segundos
Весь ковчег	Whole ark	Ganze Arche	Toda el arca
Все животные	All animals	Alle Tiere	Todos los animales
Сафари	Safari	Safari	Safari
Звери суши	Land animals	Landtiere	Animales terrestres
У воды	By the water	Am Wasser	Junto al agua
Море и берега	Sea and shores	Meer und Küsten	Mar y costas
лев	lion	Löwe	león
тигр	tiger	Tiger	tigre
медведь	bear	Bär	oso
панда	panda	Panda	panda
лиса	fox	Fuchs	zorro
собака	dog	Hund	perro
кошка	cat	Katze	gato
мышка	mouse	Maus	ratón
хомяк	hamster	Hamster	hámster
кролик	rabbit	Kaninchen	conejo
енот	raccoon	Waschbär	mapache
зебра	zebra	Zebra	cebra
жираф	giraffe	Giraffe	jirafa
слон	elephant	Elefant	elefante
носорог	rhino	Nashorn	rinoceronte
верблюд	camel	Kamel	camello
лошадь	horse	Pferd	caballo
корова	cow	Kuh	vaca
поросёнок	piglet	Ferkel	cerdito
лягушка	frog	Frosch	rana
обезьянка	monkey	Affe	mono
горилла	gorilla	Gorilla	gorila
курица	chicken	Huhn	gallina
пингвин	penguin	Pinguin	pingüino
птица	bird	Vogel	ave
сова	owl	Eule	búho
утка	duck	Ente	pato
орёл	eagle	Adler	águila
пчела	bee	Biene	abeja
бабочка	butterfly	Schmetterling	mariposa
черепаха	turtle	Schildkröte	tortuga
дельфин	dolphin	Delfin	delfín
кит	whale	Wal	ballena
большой кит	great whale	großer Wal	gran ballena
акула	shark	Hai	tiburón
осьминог	octopus	Oktopus	pulpo
краб	crab	Krabbe	cangrejo
омар	lobster	Hummer	langosta
креветка	shrimp	Garnele	gamba
змея	snake	Schlange	serpiente
ящерица	lizard	Eidechse	lagarto
крокодил	crocodile	Krokodil	cocodrilo
попугай	parrot	Papagei	loro
павлин	peacock	Pfau	pavo real
лебедь	swan	Schwan	cisne
бегемот	hippo	Nilpferd	hipopótamo
рыба	fish	Fisch	pez
тропическая рыба	tropical fish	Tropenfisch	pez tropical
рыба-шар	pufferfish	Kugelfisch	pez globo
кальмар	squid	Kalmar	calamar
ёж	hedgehog	Igel	erizo
кенгуру	kangaroo	Känguru	canguro
тюлень	seal	Robbe	foca
выдра	otter	Otter	nutria
голубь мира	dove of peace	Friedenstaube	paloma de la paz
радуга	rainbow	Regenbogen	arcoíris
ракушка	seashell	Muschel	concha
Заводь папируса	Papyrus Backwater	Papyrusbucht	Remanso de papiro
Тихая вода, густой тростник	Calm water, dense reeds	Ruhiges Wasser, dichtes Schilf	Agua tranquila, juncos densos
Открытый Нил	Open Nile	Offener Nil	Nilo abierto
Полдень над широкой водой	Noon over wide waters	Mittag über weitem Wasser	Mediodía sobre aguas amplias
Пороги Нила	Nile Rapids	Nil-Stromschnellen	Rápidos del Nilo
Течение рвётся между камней	The current rushes between rocks	Die Strömung rast zwischen Felsen	La corriente corre entre rocas
Ночная переправа	Night Crossing	Nächtliche Überfahrt	Travesía nocturna
Только луна и огни на берегу	Only the moon and shore lights	Nur Mond und Uferlichter	Solo la luna y luces de la orilla
Рассвет над дельтой	Dawn over the Delta	Morgendämmerung im Delta	Amanecer en el delta
Река выносит корзинку к людям	The river carries the basket toward people	Der Fluss trägt das Körbchen zu den Menschen	El río lleva la cesta hacia la gente
